timestamp,team_name,type,total_play_time
2025-01-17 13:15:16.346,Test Solution Bees Ignore,station_unlocked,0
2025-01-17 13:17:25.891,Test Solution Bees Ignore,first_touch,49
2025-01-17 13:17:38.814,Test Solution Bees Ignore,first_button,49
2025-01-17 13:17:47.524,Sorting By Every Column Until Morale Improves,station_unlocked,0
2025-01-17 13:18:27.74,Test Solution Bees Ignore,first_knock,109
2025-01-17 13:19:42.182,Test Solution Bees Ignore,first_light,169
2025-01-17 13:24:18.646,ℙoNDeterministic,station_unlocked,0
2025-01-17 13:24:51.222,ℙoNDeterministic,first_touch,26
2025-01-17 13:27:54.244,Test Solution Bees Ignore,stage_1_unlocked,567
2025-01-17 13:29:09.772,Test Solution Bees Ignore,first_magnet,626
2025-01-17 13:30:09.828,Sorting By Every Column Until Morale Improves,first_touch,79
2025-01-17 13:31:55.801,Sorting By Every Column Until Morale Improves,first_knock,163
2025-01-17 13:32:11.504,17th Shard,station_unlocked,0
2025-01-17 13:32:49.963,teammate,station_unlocked,0
2025-01-17 13:33:29.523,teammate,first_button,36
2025-01-17 13:33:29.767,Math and Vehem,station_unlocked,0
2025-01-17 13:33:37.286,ManateeM,station_unlocked,0
2025-01-17 13:33:45.357,Sorting By Every Column Until Morale Improves,first_button,230
2025-01-17 13:33:55.579,17th Shard,first_button,66
2025-01-17 13:33:58.819,teammate,first_touch,36
2025-01-17 13:33:59.593,17th Shard,first_knock,66
2025-01-17 13:34:00.301,Sorting By Every Column Until Morale Improves,stage_1_unlocked,284
2025-01-17 13:34:00.924,17th Shard,first_touch,66
2025-01-17 13:34:05.975,teammate,first_knock,36
2025-01-17 13:34:11.148,ManateeM,first_touch,0
2025-01-17 13:34:14.013,ManateeM,first_button,0
2025-01-17 13:34:45.743,Math and Vehem,first_touch,54
2025-01-17 13:35:13.937,17th Shard,first_light,126
2025-01-17 13:35:24.631,Frumious Bandersnatch,station_unlocked,0
2025-01-17 13:35:28.98,ManateeM,first_knock,108
2025-01-17 13:35:37.471,ManateeM,first_light,108
2025-01-17 13:35:48.765,teammate,stage_1_unlocked,178
2025-01-17 13:36:24.245,Math and Vehem,first_knock,140
2025-01-17 13:36:38.148,Math and Vehem,first_button,140
2025-01-17 13:37:12.35,Math and Vehem,stage_1_unlocked,201
2025-01-17 13:37:23.561,ManateeM,stage_1_unlocked,222
2025-01-17 13:37:24.616,17th Shard,stage_1_unlocked,294
2025-01-17 13:37:44.966,ManateeM,first_magnet,228
2025-01-17 13:38:11.276,17th Shard,first_magnet,301
2025-01-17 13:38:14.383,Sorting By Every Column Until Morale Improves,first_magnet,530
2025-01-17 13:39:04.244,Frumious Bandersnatch,first_knock,133
2025-01-17 13:39:34.373,Frumious Bandersnatch,first_button,133
2025-01-17 13:39:36.439,Frumious Bandersnatch,first_touch,133
2025-01-17 13:40:28.484,All the World's a Rage,station_unlocked,0
2025-01-17 13:40:51.304,Frumious Bandersnatch,stage_1_unlocked,252
2025-01-17 13:41:08.623,All the World's a Rage,first_knock,12
2025-01-17 13:41:08.955,Sorting By Every Column Until Morale Improves,stage_2_unlocked,681
2025-01-17 13:41:24.105,All the World's a Rage,first_touch,12
2025-01-17 13:41:25.066,Frumious Bandersnatch,first_magnet,253
2025-01-17 13:41:34.019,All the World's a Rage,first_button,12
2025-01-17 13:41:52.305,Frumious Bandersnatch,first_light,311
2025-01-17 13:41:53.495,Literally Animal Farm,station_unlocked,0
2025-01-17 13:41:53.939,Sorting By Every Column Until Morale Improves,first_headphone,681
2025-01-17 13:42:00.947,All the World's a Rage,stage_1_unlocked,89
2025-01-17 13:42:27.363,All the World's a Rage,first_magnet,89
2025-01-17 13:42:34.131,All the World's a Rage,first_light,89
2025-01-17 13:43:10.899,Literally Animal Farm,first_button,54
2025-01-17 13:44:18.355,Literally Animal Farm,first_knock,72
2025-01-17 13:45:00.375,Literally Animal Farm,first_touch,132
2025-01-17 13:45:05.575,All the World's a Rage,stage_2_unlocked,232
2025-01-17 13:45:35.673,All the World's a Rage,first_headphone,251
2025-01-17 13:47:33.638,Literally Animal Farm,stage_1_unlocked,299
2025-01-17 13:48:14.868,17th Shard,stage_2_unlocked,884
2025-01-17 13:48:16.583,teammate,first_light,894
