team_name,people
🦦🪷🪺,30
!,5
=。=,3
☃,45
☢,1
🃏,7
17th Shard,75
21K,4
22s,1
2 MINUTES FIGHTERS,5
Acorn Peasants,8
All About the Meta,20
All the World's a Rage,60
Always Rainy,4
Amateur Hour,65
Anagalactic Scooby Gang,25
An Attempt Was Made,5
Ange Management,75
Antipodium🇦🇺,3
APTOZG,6
APTOZG,6
Arcane Puzzlers 🧩,20
Ariadne's Badgerz🧶,6
AstroPals,5
baa baa black sheep,9
Bagel,4
BAH Interlopers,8
beangirls,10
beasties,12
Belmonsters,22
bird gang,5
Black Dynamite,40
Bridal Cats,5
Builders' Guild,6
Cardinality,73
Central Services,62
Cheatahs,5
Chillidawgs,7
Chiloquin's Heroes,20
Codex Calixtinus,120
Colorado Pub Trivia All-Stars,4
Control Group,41
Cooked and Clueless,9
Corvus Ailurus Mus,3
Cricket and Crosswords,3
Cruciverbalists,3
Crystal Maiden,8
Cyfur@China,20
davidteam,10
Detectives Amidst Nuptials,10
Dirty Martinis ,6
D&M Test 2,1
D&M Test 3,1
D&M Test 4,1
D&M Test 5,1
Donner Party,30
DoongulgeDoongulge(Clap),16
dootdoot,20
Duck Soup,26
Dumb 'n' Based,10
[duplicate registration],0
Egg Dumpling,20
eggs in a carton,10
Elsbels,2
Enpe🦢t,5
Eradication & Chaos @ r/PictureGame,48
ET Phone in Answer,40
Fishterious Mysterfishies,7
Flamingo Bellagio,5
Flock of Dogs,4
Flock of Wiki Worms,12
French Fries,52
Frumious Bandersnatch,80
Furious Acorns,10
Fuzzy Befuddled Family Puzzlers,10
Galactic Puzzle Hunters 2024,5
✈﻿✈﻿✈ Galactic Trendsetters ✈﻿✈﻿✈,65
geniucez,8
Good Will Puzzlehunting,14
Grad Unified Theory,50
Grand Unified Theory of Love,25
happybirthdayjimin,17
HighFive,16
Home Slices,4
Hunches in Bunches,80
iloveiloveegg,15
"Immoral, Illegal & Fattening",45
I'm not a planet either,35
inmemoryof,6
inter oves locum praesta,9
it could be fun,20
JAKS,4
Joat,2
"""jupgrade""",6
kwargers,2
ladderdogs,30
Lard Cakes,7
La Reina de los Rompecabezas 🧩👸🧩,2
Left Out,48
Les Gaulois,10
Libra Complexity,55
Linguine Amigo,10
Literally Animal Farm,67
Literally Animal Farm ,60
Luigi's Death Stare,10
M404 Not Found,9
ManateeM,27
Mango,8
Mango the Doggo,8
Masterminds of Ingenious Thefts,106
Math and Vehem,110
Maxwell Rose,4
Maxwell's angel,1
meowmeow,5
Metaphysical Plant,67
Midnight Marauders,15
Mill Girls (+Guys),5
Monsieur de Tréville and The Musketeers,7
Mortal Wombats,2
Most Intelligent banandicuTes,20
My Team (2) (edited),5
Nam Iridum 🌈,8
NES,93
New House Mystery Hunters,15
Nope,20
NUIST tour,30
Nutboys,3
Occam's Depilatory Gel,23
Off in the Lab,20
Om Nom Nom Nom,13
One Puzzle Wonder,6
On Search,15
Orb Ponderers,4
"Our Team Name is ""Team Name""",7
Palindrome,99
Pan Galactic Goose Syndicate,10
Pennys,4
PERSON NAME OVERWATCH PLAYER COLORFUL DESCRIPTOR ENDEARING MONIKER DUBIOUS ACCOMPLISHMENT ONLINE HANDLE HAPPY BIRTHDAY DENNIS ANIME GIRL #1 FAN + friends,15
Plaid Thong,10
Plane Tickets are Expensive,40
Platonic Liquids,15
ℙoNDeterministic,15
pp,8
Providence Crime Syndication,127
Purple Hays,20
Puzzkill,22
puzzlelambdaphuzzle,16
Quarantine Decrypters,27
Quiz Quiztofferson,5
Rain Gang,10
Random Puzzle Order,40
Raucous Raucous Rhinos,20
Real Thieves Nabbing Paintings,35
Relatively Theoretical Constructs,30
(required),16
Richie Bear,7
rockhead,2
Sabotages,8
seep susan,10
Segatobas,2
Setec Astrology,15
Setec Astronomy,60
Shower Pomelo 🍈,15
Singles Ready to Stay Inside,24
Sleipnir's Wranglers,25
Sloopertroop,0
Small Llama Malls,64
Smung Institute,17
Society of Enigmatic Spirits,14
Sorting By Every Column Until Morale Improves,100
Space Needle in a Haystack,40
Spartacus,1
Spicy Pecans,10
Spore Giant,30
[stimulant] [animal],10
String Cheese Theory,4
Stumped and Furious,28
Sufficiently Large N,10
Super Team Awesome,120
tableflip,2
TaskforceEarth,7
Team 3734,5
team chips for now,15
Team Constructed Adventures,10
Team Geo,15
teammate,60
"Team This Is An Uptown Local 1 Train For: Van Cortlandt Park - 242nd Street. This Train Is Going Express. The Next Stop Is: 137th Street - City College. Stand Clear Of The Closing Doors, Please",8
Team Unknown,9
Team Unseen,50
Test Solution Bees Ignore,69
Tetacetera,18
The Azoth Consortium,5
"The Cat, The Crab and The Fish",3
The CoRE Four,4
The Donut Inside the Donut,15
The Gr88 Ones,10
The Hive Rind,4
The Infinite Puzzlemasters,10
The Laundromat @ Carle,6
The Lexingtons,50
Them Crab Ally Zeros,13
The Moment I Knew,41
The One From Scarborough Fair,2
The Ptrocanfers,2
The Puzzledome,8
The Puzzly Wuzzlies!,5
There are FOUR lights,4
The Rum Swizzlers,3
The Team Formerly Known as the Team Formerly Known as the Team Formerly Known as the Team Formerly Known as the Team Formerly Known as the Team Formerly Known as The Team To Be Named Later,100
The Team That Is Now Named Later,55
Tinkers' Hollow,7
[title of team],20
TooKlyKly,3
Traffic Jam Control,5
UG9vcCBFYXRlciDwn5Kp,2
UG9vcCBFYXRlciDwn5Kp1,2
Ultimate Brownies,10
⛎ UNICODE EQUIVALENCE,27
Up Late,70
Vaguely Eloquent Team,16
Vantablack,8
Vexed and Perplexed,6
Wafflehaüs,75
WASH YOUR HANDS ,10
Webbz ,6
we should come up with something smart,3
wetrieddontcriticize,10
We Tried Getting Domino's Delivered To Storkë Tower And It Worked,6
windowsvista,5
wols,4
worms,5
X-Folders Team,5
Y₀,12
喵喵喵,85
